tweet_id,full_text,sentiment
1587817360164999168,@twk_5 @davidhogg111 Good question. The guns and rifles you used were not assault weapons. I have no problem with those. It’s the assault rifles that concern me n,anti-gun
1587817321057456128,"@NikaOneDay @thegreatunkn @obiwill_kenobi @TulsiGabbard Personally I'd rather have a time machine so I could go back and prevent the invention of guns in the first place, but we do what we can with what we have. I'm not in favour of getting shot on the street. Home defence is great. Open carry in public should not be allowed.",anti-gun
1587817169605185536,"Just…read this. 
https://t.co/TfKqT2nNZI

@petersagal on the murder of Isabella Thallas in Denver and the “mundanity and insanity” of gun violence in the US.",anti-gun
1587817006258335744,@TomCottonAR Are you suggesting more guns like your colleagues? There’s a gun violence epidemic in the US. Americans own 40% of the worlds guns. Tough on crime you say? You voted against more funding for police. Your party continually disrespects law enforcement. Vote blue for justice!,anti-gun
1587816908283269120,@GhostofTST Disagreed! You can have sensible gun laws or you can have the 2nd Amendment but you can't have both. Repeal 2nd A and use your common sense. You will get the hang of it! Like Canadians do.,anti-gun
1587816725105500167,"Rest in Power, Takeoff. 

So sad to see another victim of gun violence.",anti-gun
1587816649532456961,@WisDems My roomate was going to date soneone until found out he is a proud oener of an AR-15.JUST THE THOUGHT OF HAVING HIM AROUND UNNERVED ME.,anti-gun
1587816599058145280,"@CARebelBase Your underling premise is wrong. Democrats never embraced the notion that crime is a conservative conspiracy. We acknowledge that easy access to guns increases violent crime. A simple and proven fact, no conspiracy.",anti-gun
1587816285756276736,@LiamMiller33 Politicians who prefer NRA paychecks over providing their constituents with life saving policies.,anti-gun
1587816281557925888,"@SonsOFreshOil @JOSE97LUIS @TulsiGabbard Really? bad form? Does the 2nd as interpreted allow the guns used in mass shootings? Yes. Could there be protections put in place through regulations that help curtail that? Yes. BTW, I'm a gun owner, and I support oversight and checks to protect the population.",anti-gun
