tweet_id,full_text,sentiment
1587957708166426625,@PapiiDev_ @aaronbricks69 @Barstooldmv Man ppl going to get guns regardless. If they want to get one they will. Yes we do need to do a better job at doing background checks and stuff I’ll agree with you ther,
1587957661085171712,"@watertigernyc Hey, now that NYC is open carry…",
1587957440494141441,.@KaneGovernment decides new gun law not ready after hearing local gun owner concerns https://t.co/T9v8WuE1D7 via @dailyherald,
1587957427823349760,"@thediva76 @iamjadebrieanne @brolys_maiden @unclelukereal1 Yeah there’s nothing wrong with the gun culture in black communities, right? Also https://t.co/fheQcZf4Su",
1587957397422841861,"HipHop needs to go on strike! No more gun play or violence, no more negativity over creativity. No More! How many do we have to loose before we SAY NO MORE!",
1587957395539611648,"@bradlena1 @RadioFreeTom Republicans push for unrestricted gun ownership, and Democrats get blamed for gun violence. Go figure.",
1587957387503501312,"Iowans, Strict scrutiny means the rights of the community or business owners or schools to enact reasonable gun restrictions will become subordinate to the individual’s right to carry his gun anywhere and everywhere. Vote NO on the gun amendment",
1587957369543204865,"The 2nd Amendment calls for a ""A well regulated Militia"" https://t.co/oMeEBiCjQt",
1587957359636189185,@marla_vous @BetoORourke Abbott is Forever. So not Allowed to Complain about No power or Mass shootings Again,
1587957220502822912,A Federal Judge Calls Clarence Thomas’ Bluff on Gun Rights and Originalism https://t.co/5hqlqDpTaP,
1587957194443685889,"@ClownWorld_ @robreiner Sir your side won’t let me have a legal gun, your side continues to allow criminals freedoms they gave up the moment they committed their crime, your side chooses to tell me that my body isn’t my body &amp; I must put inside my body a vaccine yet you won’t educate….",
1587957099048443904,@ClownWorld_ This is why we have the second amendment,
1587957099048275969,"What an idiotic headline. There is no bluff. It isn't difficult to look up the LEGAL history of regulations. It is done all the time for all kinds of laws. Guns doesn't charge that. And carrying into an airport isn't new. @Slate @gunpolicy @GunOwners 

https://t.co/WmJxiZXI9E",
1587957050440491008,@laurenboebert @GunOwners God given rights? The right to bear arms is a matter of God? I’m lost in your bs,
1587957045784973312,@billmaher tells #MSNBC that it’s extremist and clearly a problem that #Republicans are using their #Second #Amendment #right to be #well #trained and know how to protect themselves. #Selfdefense #Constitution #Trump #America #Fact,
1587957022980546560,"@jilevin It’s called the 2nd Amendment, look it up. It provides protection from a tyrannical government, you know, like the one which forced you to wear a mask. In a world of compromise, some don’t.",
1587957018551357443,"@gunpolicy What does a CT compliant AR look like? The “assault weapons” ban is so dumb  It just sucks most people have no idea what it actually is and does, try to teach them - if they’re willing to listen they’ll see how futile it actually is https://t.co/VI3TOadOoY",
1587956871792467969,"@SenTedCruz Ted Cruz, hey guy worth $4mil. Here’s proof that democrats are better at fighting crime. Key word is reform. https://t.co/TG9miuz3ZY",
1587956833746034690,@SenateGOP Children murdered in their classrooms because the GOP refuses to support sensible gun laws!,
1587956778846679041,@pepieux55 @TruthJustis4USA @ACTBrigitte Trump lost in the most secure election in history even as Russia tried to interfere again to keep him illegally in office. He and most Republicans in congress continue to lie to his MAGA domestic terrorist followers.  Those terrorists are out running around with guns.,
1587956721322164224,"Marco Rubio, up for re-election in Florida lied to the father of one of Parkland victims that Rubio would stop gun violence but he voted against every bill to end gun violence.

Vote Val Demings for senator who will serve full 4 years for Floridians not bought by NRA as Rubio.",
1587956714476900355,"What is wrong with our world?? 
#Uvalde #911calls
https://t.co/UzBs1OsLgv",
1587956702271397894,"@stephenwpatrick Where is the AAP on this? From school shootings to pediatric viruses to parental leave reform, the pediatricians are never at the top of the call list.",
1587956664463925249,@7im @nra is all about terrorizing Americans https://t.co/mjTr5Jjpp6,
